source,relation,target,origin,score,evidence
LG화학,BELONGS_TO,이차전지,051910,37,LG화학 / Company / BELONGS_TO / 이차전지 산업 / Company / evidence: '에너지솔루션 / EV용 배터리'
SK아이이테크놀로지,BELONGS_TO,이차전지,361610,43,이 문서는 'SK아이이테크놀로지'의 사업보고서... '당사'·'회사'·'지배기업'은 모두 'SK아이이테크놀로지'를 가리킨다.
LG화학,BENEFITS_FROM,정부정책,051910,46,LG에너지솔루션 ... 수요변동요인 ... 정부정책
LG화학,BELONGS_TO,농약/비료,051910,48,<주요종속회사 (주)팜한농> ... 제초제 ... 생물농약 ... CRF비료 ... 품종 개발
삼성SDI,BELONGS_TO,전자재료,006400,48,"QD Ink, FOCA, EMC, OLED용 증착소재, 폴더블 디스플레이용 고성능 접착 소재, 반도체용 고방열 패키징 소재, 편광필름 사업 등 전자재료 관련 제품 개발 및 사업 진행"
SK이노베이션,BELONGS_TO,양극재,096770,50,당사는 이차전지 양극재 산업에 속하고
삼성SDI,BELONGS_TO,디스플레이,006400,52,"폴더블 디스플레이용 고성능 접착 소재 개발, 대면적 QD 디스플레이용 색 변환 소재 개발, OLED용 증착소재 개발 등 디스플레이 관련 소재 및 제품 개발"
삼성SDI,SUPPLIES,파워로직스,006400,53,"PACK 자재 매입 비고에 '파워로직스, 넥스콘 등' 명시"
삼성SDI,SUPPLIES,넥스콘,006400,53,"PACK 자재 매입 비고에 '파워로직스, 넥스콘 등' 명시"
삼성SDI,BELONGS_TO,이차전지,006400,53,"전기자동차용 각형 리튬 2차전지, 에너지저장장치용 각형 리튬 2차전지, 전동공구용 원형 리튬 2차전지, 원형 리튬 2차전지, IT용 파우치형 리튬 2차전지 등 다양한 리튬 2차전지 개발 및 사업 진행"
에코프로머티리얼즈,BENEFITS_FROM,전기차 구매 보조금,086520,54,에코프로머티리얼즈 / (정부보조금) / (34)
에코프로에이피,BELONGS_TO,전지재료사업,086520,56,전지재료사업부문 / 소속회사 / 에코프로에이피
에코프로씨엔지,BELONGS_TO,전지재료사업,086520,56,전지재료사업부문 / 소속회사 / 에코프로씨엔지
대한유화,SUPPLIES,SK지오센트릭,096770,57,펜탄 ... 주요 매입처: 대한유화 등
삼성SDI,SUPPLIES,유미코아,006400,58,"극판자재 매입 비고에 '유미코아, 에코프로이엠 등' 명시"
삼성SDI,SUPPLIES,에코프로이엠,006400,58,"극판자재 매입 비고에 '유미코아, 에코프로이엠 등' 명시"
에코프로이노베이션,BELONGS_TO,전지재료사업,086520,58,전지재료사업부문 / 소속회사 / 에코프로이노베이션(연결)
에코프로머티리얼즈,BELONGS_TO,전지재료사업,086520,59,전지재료사업부문 / 소속회사 / 에코프로머티리얼즈
LG화학,BELONGS_TO,첨단소재,051910,60,당사는 이차전지 양극재 산업에 속하고
에코프로,BELONGS_TO,지주회사,086520,60,지주회사부문 / 소속회사 / 에코프로
LG화학,BELONGS_TO,첨단소재,051910,62,구분 / 사업부문 / 첨단소재
LG화학,BELONGS_TO,이차전지,051910,62,"차세대 전지 개발, 자동차전지, 소형전지, ESS전지 ... 전지 제조 공정 고도화"
삼성SDI,SUPPLIES,WCP,006400,63,"조립자재 매입 비고에 'WCP, 상신EDP, 솔브레인 등' 명시"
삼성SDI,SUPPLIES,상신EDP,006400,63,"조립자재 매입 비고에 'WCP, 상신EDP, 솔브레인 등' 명시"
삼성SDI,SUPPLIES,솔브레인,006400,63,"조립자재 매입 비고에 'WCP, 상신EDP, 솔브레인 등' 명시"
SK이노베이션,BELONGS_TO,LNG,096770,63,13. LNG 사업 (1) 산업의 특성 국내 LNG산업은 정부정책에 따라...
삼성SDI,BELONGS_TO,전동공구,006400,64,"전동공구용 고출력 원형 전지 개발, 전동공구용 원형 리튬 2차전지 사업"
SK에너지,SUPPLIES,SK지오센트릭,096770,64,납사 ... 주요 매입처: SK에너지(계열회사) 등
에코프로,BELONGS_TO,양극재,086520,65,당사는 이차전지 양극재 산업에 속하고
LG화학,BELONGS_TO,스마트팩토리,051910,68,생산기술혁신 전지 제조 공정 고도화 - 스마트팩토리 기반기술 확보 및 구축
LG화학,BELONGS_TO,생명과학,051910,69,구분 / 사업부문 / 생명과학
SK에너지,SUPPLIES,SK지오센트릭,096770,69,기타 원재료 ... 주요 매입처: SK에너지(계열회사) 등
삼성SDI,BELONGS_TO,에너지저장장치(ESS),006400,70,"전력용 고에너지 ESS enclosure 개발, UPS용 고출력 ESS 모듈 개발, 에너지저장장치용 각형 리튬 2차전지 사업"
SK이노베이션,BELONGS_TO,기초유화,096770,70,기초 / 유화사업 / 제품 / 에틸렌
SK이노베이션,COMPETES_WITH,HD,096770,70,국내 정유사별 주유소 현황은 아래와 같습니다. ... SK ... HD ... S-Oil ... GS ... 기타
SK이노베이션,COMPETES_WITH,S-Oil,096770,70,국내 정유사별 주유소 현황은 아래와 같습니다. ... SK ... HD ... S-Oil ... GS ... 기타
SK이노베이션,COMPETES_WITH,GS,096770,70,국내 정유사별 주유소 현황은 아래와 같습니다. ... SK ... HD ... S-Oil ... GS ... 기타
SK이노베이션,BELONGS_TO,화학소재,096770,71,화학 / 소재사업 / 제품 / 합성수지
에코프로비엠,BELONGS_TO,전지재료사업,086520,71,전지재료사업부문 / 소속회사 / 에코프로비엠(연결)
에코프로에이치엔,BELONGS_TO,환경사업,086520,71,환경사업부문 / 소속회사 / 에코프로에이치엔(연결)
SK이노베이션,BELONGS_TO,석유,096770,73,판매경로 / 석유사업 / 내수 / 대리점
삼성SDI,BELONGS_TO,전기자동차,006400,74,"EV용 고용량/고에너지밀도 전지 개발, 전기자동차용 각형 리튬 2차전지 사업"
에코프로비엠,SUPPLIES,SK이노베이션,086520,75,SK이노베이션 / EV용 하이니켈 양극재(NCM) 판매계약
에코프로비엠,SUPPLIES,SK이노베이션,247540,75,SK이노베이션 / EV용 하이니켈 양극재(NCM) 판매계약
