node,type,degree
SK이노베이션,Company,184
LG화학,Company,107
삼성SDI,Company,81
에코프로,Company,67
포스코퓨처엠,Company,45
LG에너지솔루션,Company,42
에코프로비엠,Company,31
엔켐,Company,22
SK아이이테크놀로지,Company,16
엘앤에프,Company,12
이차전지,Industry,10
양극재,Industry,8
전기차 구매 보조금,Policy,8
SK온,Company,7
에코프로머티리얼즈,Company,7
IRA,Policy,6
에코프로이노베이션,Company,6
전지재료사업,Industry,6
SK Energy International,Company,5
SK에너지,Company,5
SK지오센트릭,Company,5
에코프로씨엔지,Company,5
에코프로이엠,Company,5
환경규제,Policy,5
에코프로에이피,Company,4
SK인천석유화학,Company,3
대한유화,Company,3
분리막,Industry,3
석유화학,Industry,3
에너지솔루션,Industry,3
에어레인,Company,3
에코프로에이치엔,Company,3
팜한농,Company,3
B&M,Company,2
Brunp,Company,2
Easpring,Company,2
LiBS,Industry,2
PT ECOPRO ESG INVESTMENT,Company,2
Reshine,Company,2
Ronbay,Company,2
SK Energy Americas,Company,2
XTC,Company,2
독점규제 및 공정거래에 관한 법률,Policy,2
반도체,Industry,2
삼성전자,Company,2
세제혜택,Policy,2
에스케이지오센트릭,Company,2
온실가스 배출권의 할당 및 거래에 관한 법률,Policy,2
이차전지 소재,Industry,2
자동차,Industry,2
전동공구,Industry,2
정유,Industry,2
중국정부의 보조금 확대 정책,Policy,2
친환경 정책,Policy,2
포스코엠씨머티리얼즈,Company,2
한국가스공사,Company,2
화학소재,Industry,2
환경사업,Industry,2
14차 5개년 실행계획,Policy,1
AES,Company,1
AI/빅데이터,Industry,1
Adnoc,Company,1
Amogy,Company,1
Aveo Pharmaceuticals,Company,1
BMW,Company,1
BU12 Australia Pty,Company,1
BU13 Australia Pty,Company,1
"Baterias De Castilla, S.L",Company,1
Bioworks,Company,1
Blackstone Energy Partners III L.P,Company,1
CNC,Company,1
Capchem Poland SP. Z.o.o,Company,1
Castrol,Company,1
China Gas-SK E&S LNG Trading,Company,1
"DFD Yangfu New Materials Co.,Ld",Company,1
DS ASIA HOLDINGS,Company,1
E&S 사업,Industry,1
E-mobility,Industry,1
EIC Properties,Company,1
ENCHEM AMERICA,Company,1
ENCHEM CANADA,Company,1
ENCHEM CHINA,Company,1
ENCHEM FRANCE,Company,1
ENCHEM HUNGARY,Company,1
ENCHEM SHANDONG,Company,1
ENCHEM SUZHOU,Company,1
ENEOS,Company,1
ESS 단지 조성사업,Policy,1
ESS 설치 의무화,Policy,1
ESS(에너지저장시스템),Industry,1
EV,Industry,1
EV-LOOP,Company,1
EV로의 전환을 가속화하는 정책,Policy,1
EcoCam Canada,Company,1
EcoPro America,Company,1
EcoPro BM America,Company,1
EcoPro BM Hungary,Company,1
Elevra Lithium,Company,1
Enchem Poland Sp. z o.o,Company,1
Energy Solution Holdings,Company,1
Enevate,Company,1
Freeport LNG,Company,1
Fulcrum BioEnergy,Company,1
GEM DRC,Company,1
GRC,Company,1
GREEN REVOLUTION COOLING,Company,1
GS,Company,1
GS칼텍스,Company,1
Ganfeng Lithium,Company,1
Gemini Partners,Company,1
Great Power,Company,1
Green Technology Metals,Company,1
HD,Company,1
HUAJIN NEW ENERGY MATERIALS(QUZHOU),Company,1
HUZHOU KUNLUN ENCHEM BATTERY MATERIAL,Company,1
IT,Industry,1
IT / Non-IT 기기,Industry,1
IT 기기,Industry,1
IT기기,Industry,1
IT소재,Industry,1
Impact Recycling,Company,1
Inner Mongolia Sinuo New Material Technology,Company,1
Intellectual Discovery,Company,1
Intellectual Keystone Technology,Company,1
Jiujiang Defu Technology,Company,1
K.K. Korea Kamchatka Co,Company,1
KDB모빌리티 오픈 이노베이션,Company,1
Kryptos Biotechnoligies,Company,1
L-H Battery Incorporated,Company,1
LEYOU NEW ENERGY MATERIALS(WUXI),Company,1
LG,Company,1
LG CHEM COLOMBIA S.A.S,Company,1
LG CHEM TK Kimya SANAYI VE TIC. STI,Company,1
LG Chem (China) Investment,Company,1
LG Chem (Chongqing) Engineering Plastics,Company,1
LG Chem (Guangzhou) Information & Electronics Materials,Company,1
LG Chem (Taiwan),Company,1
LG Chem (Tianjin) Engineering Plastics,Company,1
LG Chem America,Company,1
LG Chem America Advanced Materials,Company,1
LG Chem Asia,Company,1
LG Chem BRASIL INTERMEDIACAO DE NEGOCIOS DO SETOR QUIMICO LTDA,Company,1
LG Chem Europe,Company,1
LG Chem Hai Phong Engineering Plastics,Company,1
LG Chem Hai Phong Vietnam,Company,1
LG Chem Hungary Battery Separator,Company,1
LG Chem Japan,Company,1
LG Chem Life Sciences (Thailand),Company,1
LG Chem Life Sciences India Pvt,Company,1
LG Chem Life Sciences Poland,Company,1
LG Chem Life Sciences USA,Company,1
LG Chem Malaysia,Company,1
LG Chem Mexico S.A. de C.V,Company,1
LG Chem Ohio Petrochemical,Company,1
LG Chem Poland Sp. z o.o,Company,1
LG Chem VietNam,Company,1
LG Chem(HUIZHOU) Petrochemical,Company,1
LG Chemical (Guangzhou) Engineering Plastics,Company,1
LG Chemical India Pvt,Company,1
LG Energy Solution (Nanjing),Company,1
LG Energy Solution (Taiwan),Company,1
LG Energy Solution Arizona,Company,1
LG Energy Solution Arizona ESS,Company,1
LG Energy Solution Australia Pty,Company,1
LG Energy Solution Battery (Nanjing),Company,1
LG Energy Solution China,Company,1
LG Energy Solution Europe,Company,1
LG Energy Solution India Private,Company,1
LG Energy Solution Japan,Company,1
LG Energy Solution Michigan,Company,1
LG Energy Solution Technology (Nanjing),Company,1
LG Energy Solution Vertech,Company,1
LG Energy Solution Wroclaw sp. z o.o,Company,1
