source,source_type,relation,target,target_type,qota_rt,origins,evidences
LG에너지솔루션,Company,BELONGS_TO,에너지솔루션,Industry,,373220,당사는 끊임없는 배터리 연구개발과 신제품 출시 및 품질 혁신을 통해 에너지솔루션 산업을 대표하는 글로벌 기업으로 성장하였습니다.
LG에너지솔루션,Company,BELONGS_TO,이차전지,Industry,,373220,"2차전지 산업은 과거 노트북, 스마트폰 등 IT기기용 전지를 중심으로 성장하여왔으나, 세계 각국의 환경규제 및 전기차에 대한 구매 보조금, 세제혜택 등의 정책실시로 전기차 시장이 빠르게 성장하면서 EV용 배터리가 2차전지 산업의 성장을 주도하고 있습니다.|2차전지 제조업은 양극재, 음극재, 전해질을 비롯한 소재의 배합, 전극 및 배터리 셀의 구조 설계에 관한 고도의 화학/전기/기계공학 관련 기술을 요합니다."
LG화학,Company,BELONGS_TO,AI/빅데이터,Industry,,051910,CDO AI/빅데이터 분석기술을 활용한 알고리즘 개발
LG화학,Company,BELONGS_TO,E-mobility,Industry,,051910,차세대 원통형 전지 개발 - E-mobility 및 고출력 전동공구용 전지 개발
LG화학,Company,BELONGS_TO,ESS(에너지저장시스템),Industry,,051910,ESS전지 전력저장용 전지 개발
LG화학,Company,BELONGS_TO,IT기기,Industry,,051910,IT기기용 파우치형 이차전지 개발 - IT 및 Wearable 기기를 위한 다양한 형태 및 사이즈의 리튬이온 이차전지 개발
LG화학,Company,BELONGS_TO,IT소재,Industry,,051910,"이들은 대부분 석유화학제품, IT소재 등에 관한 특허로 회사의 주력사업 제품에 쓰이거나 향후 핵심 기능으로 활용될 가능성이 높습니다."
LG화학,Company,BELONGS_TO,OLED,Industry,,051910,OLED 전자수송층에 포함되는 물질에 관한 기술로 17년간 배타적 사용권 보유
LG화학,Company,BELONGS_TO,곤충병원성 곰팡이 제제,Industry,,051910,고온안정성이 높은 곤충병원성 곰팡이 제제의 제조방법 개발(LG화학 공동)
LG화학,Company,BELONGS_TO,국립수산과학원 과제,Industry,,051910,"조류에 적용 가능한 해조류 전용 영양제 개발(국립수산과학원 과제수행, '18~19년 처방선정)"
LG화학,Company,BELONGS_TO,농약/비료,Industry,,051910,
LG화학,Company,BELONGS_TO,농업,Industry,,051910,공통 및 기타부문 ... 농업 관련 업체 등
LG화학,Company,BELONGS_TO,바이오·제약,Industry,,051910,바이오·제약산업은 새로운 신약 발견을 위한 연구가 곧 산업의 경쟁력으로 생명과학사업본부는 ... 차별화된 사업역량을 보유하고 있습니다.|바이오·제약산업은 인간의 생명과 직결되고 공공성이 큰 산업이므로
LG화학,Company,BELONGS_TO,바이오신약,Industry,,051910,신약연구소
LG화학,Company,BELONGS_TO,분리막,Industry,,051910,이차전지용 분리막 개발
LG화학,Company,BELONGS_TO,비료,Industry,,051910,"(주)팜한농은 작물보호제, 종자, 비료 등의 제조 및 판매를 주요 사업으로 하고 있습니다."
LG화학,Company,BELONGS_TO,생명과학,Industry,,051910,"생명과학 사업부문|생명과학 사업부문 ... 병의원 및 의약품, 농업 관련 업체 등"
