date,open,high,low,close,volume,trading_value
20260703,24300,24800,22450,24100,128847,2991207050
20260702,26200,26250,23750,23950,165420,4077435725
20260701,27600,28000,25300,25500,181134,4753708850
20260630,29750,30050,27450,27450,237488,6731618825
20260629,24450,30900,24400,30650,348501,10097192575
20260626,25850,26200,23600,24000,204112,5007730300
20260625,28100,28750,26050,26250,127208,3433515400
20260624,27100,28850,27000,28050,121640,3380794750
20260623,29950,30450,27350,27800,175927,4997955625
20260622,30600,30600,29100,29900,130371,3903135575
20260619,32200,32450,30000,31100,137525,4232397150
20260618,33700,34050,31300,31400,231361,7426118000
20260617,36550,36550,35250,35700,67680,2422409225
20260616,37050,37150,35300,36700,153690,5532991300
20260615,35750,37700,35350,37600,175778,6404414150
20260612,35050,35950,33700,34950,228984,7863051375
20260611,29950,35650,29050,34900,368767,12347177600
20260610,31300,32300,30000,30650,137545,4217713300
20260609,31300,33000,31200,31550,214831,6872494100
20260608,31800,34400,30500,31000,257300,8323904250
20260605,35000,35500,33050,33050,158660,5385325200
20260604,37500,37900,35400,36200,149289,5408259100
20260602,32900,40650,31850,34650,425000,15011768800
20260601,34200,35050,33200,33300,165546,5598062125
20260529,35550,35600,33800,35100,148360,5143436500
20260528,36800,36800,33450,35350,177899,6196859575
20260527,36800,37400,34900,34900,165070,5919195200
20260526,39900,39900,37050,37500,148630,5684832725
20260522,39000,40050,37150,38650,233244,8954370275
20260521,33850,35400,33300,34800,149270,5157888050
20260520,33750,33750,32000,32650,175709,5735209825
20260519,36100,37050,33600,33700,237099,8170764975
20260518,37300,39500,34200,36250,191234,6858035575
20260515,39850,41000,36350,37050,221183,8498260000
20260514,40600,40800,38450,39400,174248,6861218200
20260513,39050,39400,37700,37950,180454,6902518800
20260512,41000,41450,38350,39250,351873,13973761425
20260511,42600,42650,40500,41150,262658,10898635650
20260508,42800,43800,42000,42600,186379,7962698650
20260507,44100,44400,43050,43150,171116,7432494725
20260506,46000,46050,43550,44700,250125,11034380075
20260504,45200,46300,44650,45150,222725,10135779675
20260430,46900,46900,44200,44300,320058,14366721500
20260429,47200,47900,46400,47100,198529,9308891700
20260428,49600,50200,46950,47600,375008,18035371300
20260427,46600,49300,46400,47850,596878,28533684825
20260424,50100,50800,48400,50600,379846,18784965225
20260423,52400,52500,48550,49450,684959,34241732825
20260422,54500,55500,49350,53300,1173327,61121425375
20260421,42700,50400,42550,49250,1834758,86915322125
20260420,42700,42700,41250,41750,219138,9184686225
20260417,43800,44100,41000,41800,368282,15439335225
20260416,40050,44700,39900,43100,872407,37379844025
20260415,39600,39850,38000,39150,296304,11564763250
20260414,37500,40000,37300,38500,380699,14776777475
20260413,36400,37550,35950,36950,165492,6071743375
20260410,37850,38500,36800,37200,145029,5416883175
20260409,37500,38550,36700,37050,223018,8330097700
20260408,37100,37700,36000,37150,345987,12667595100
20260407,37800,39950,35000,35250,412807,15196670075
20260406,35350,40000,35350,37500,547019,20592476825
20260403,36200,36450,33950,34900,356722,12472639375
20260402,39850,40400,35000,35600,558758,21037878825
20260401,41950,42050,38850,39350,539791,21403151000
20260331,42500,43500,39700,40950,550907,22742436525
20260330,39600,41300,38800,39950,463165,18511346050
20260327,42200,43750,40050,42700,669080,27946813675
20260326,46050,46500,41100,45000,2034571,90156763175
20260325,34650,38900,32850,38900,1733333,62802579000
20260324,30000,34600,29950,29950,3028551,96984647225
20260323,44300,45000,42100,42750,764891,33003536750
20260320,51300,51800,48300,49050,779038,38489470275
20260319,55200,55300,53000,53100,291144,15598135050
20260318,57400,57400,55600,56000,208348,11674480050
20260317,57500,57900,55600,55800,166777,9480229600
20260316,57900,58400,55700,56000,136460,7705257600
20260313,56000,58300,55500,57300,203888,11573925300
20260312,58000,61700,57100,57400,259080,14969227750
20260311,61400,61600,57300,58500,406237,24265402450
20260310,63200,63200,59500,60600,215332,13102145850
20260309,60500,62000,57300,60000,329494,19390255550
20260306,60400,64500,59100,64000,280339,17561065450
20260305,59000,63300,58200,59800,547022,32889819250
20260304,64500,66700,55200,55200,592331,35184371050
20260303,71800,73000,64800,65100,677794,46820923750
20260227,76500,78700,75300,76000,299976,23001002700
20260226,80100,80300,76800,77800,206213,16145594150
20260225,78200,79700,76500,79000,172783,13534614950
20260224,76700,79100,75000,76800,210928,16251054600
20260223,81500,82500,76000,76100,189071,14740359250
20260220,81500,82300,78200,80300,148022,11882830500
20260219,76000,79500,73900,79200,270589,20922488000
20260213,76700,77150,75000,75500,186652,14117117450
20260212,78000,80200,77000,79600,139087,10964162500
20260211,80200,80300,77200,77500,112730,8832453750
20260210,81900,83400,79000,79400,151228,12170835550
20260209,79000,82800,78100,82500,273009,22183168900
20260206,74900,77400,73700,75300,222670,16758837500
20260205,82000,83800,77800,78600,316055,25384695700
20260204,81800,87700,81700,84400,350083,29455471950
