date,open,high,low,close,volume,trading_value
20260629,24450,30900,22450,24100,1061390,28651163025
20260622,30600,30600,23600,24000,759258,20723131650
20260615,35750,37700,30000,31100,766034,26018329825
20260608,31800,35950,29050,34950,1207427,39624340625
20260601,34200,40650,31850,33050,898495,31403415225
20260526,39900,39900,33450,35100,639959,22944324000
20260518,37300,40050,32000,38650,986556,34876268700
20260511,42600,42650,36350,37050,1190416,47134394075
20260504,45200,46300,42000,42600,830345,36565353125
20260427,46600,50200,44200,44300,1490473,70244669325
20260420,42700,55500,41250,50600,4292028,210248131775
20260413,36400,44700,35950,41800,2083184,85232463350
20260406,35350,40000,35000,37200,1673860,62203722875
20260330,39600,43500,33950,34900,2469343,96167451775
20260323,44300,46500,29950,42700,8230426,310894339825
20260316,57900,58400,48300,49050,1581767,82947572575
20260309,60500,63200,55500,57300,1414031,83300956900
20260303,71800,73000,55200,64000,2097486,132456179500
20260223,81500,82500,75000,76000,1078971,83672625650
20260219,76000,82300,73900,80300,418611,32805318500
20260209,79000,83400,75000,75500,862706,68267738150
20260202,93900,95600,73700,75300,2164162,182573450950
20260126,65900,105000,65500,96100,5680398,485762516700
20260119,62000,67900,60300,64800,1557251,98219170400
20260112,61000,66700,60900,62900,825463,52636182050
20260105,63300,66200,61400,62200,673156,43042143050
20251229,65300,67600,60700,64300,467231,30104706450
20251222,63500,78000,62200,67000,1319822,92524167400
20251215,67300,69200,59500,62700,748674,48058504800
20251208,66200,73200,65500,68800,1135219,78238204956
20251201,77000,78000,69000,70000,968550,71196853300
20251124,60400,78000,54800,76000,1606301,105872337350
20251117,76300,77400,56300,61900,2254014,150446919550
20251110,79900,87000,78100,82100,855436,71254006050
20251103,88100,92700,77100,80000,869588,73986479900
20251027,100800,100900,83800,86100,1690783,158744553500
20251020,83300,98500,79600,96000,2955137,262898199600
20251013,68000,88300,66000,85100,1922303,153130289100
20251010,68000,69500,65200,68200,173331,11674395600
20250929,72300,73700,69700,69700,339733,24260091950
20250922,78600,80100,72000,72300,559327,42685837250
20250915,78300,81300,75800,80300,1094075,86609978750
20250908,71400,77600,68300,77300,1188741,86037375100
20250901,72900,75600,68700,72900,866673,61329900150
20250825,82200,85900,74500,74900,1325745,106241002250
20250818,86800,86900,77600,79800,1320001,107865334800
20250811,75000,89400,73400,86500,3127339,266025899500
20250804,64800,73000,62000,71700,1738206,118930336600
20250728,62900,71200,60700,64300,1997500,132326315050
20250721,58300,67800,58000,63100,2184396,137398815200
20250714,58700,61200,55100,58800,1049786,59416330800
20250707,58300,59200,55200,58100,677709,38524799500
20250630,56000,61300,54500,58200,910325,52443497100
20250623,56500,64000,54800,57000,1125991,67068193850
20250616,57900,59000,53100,57900,1434387,80431555950
20250609,68000,68100,58600,58900,1057754,66575318000
20250602,68400,71700,64600,68800,666852,45457771700
20250526,60400,68700,57500,66900,1431129,89753205200
20250519,61100,66100,57400,61300,1601094,98604911950
20250512,66500,73900,61500,62400,1180778,79035291200
20250507,77800,78400,63100,63700,786201,53474582700
20250428,83300,84700,77200,78400,477941,38658321550
20250421,79500,89500,75500,82700,1359454,113508172650
20250414,88900,92300,77500,81100,1695228,143834535250
20250407,61000,85000,57000,83000,1945040,139169143800
20250331,69500,70200,59700,65100,1333720,86733822850
20250324,87100,87100,71800,72100,968101,75404028100
20250317,85800,88600,78300,85200,1694309,140192195850
20250310,90000,92300,83000,84000,1507814,130696899400
20250304,105500,107300,90400,90800,1723594,167947484800
20250224,124900,133900,105100,105100,2924871,336472551300
20250217,106000,133000,101700,129600,2786982,329743100400
20250210,108600,118100,104500,107000,1327751,145791674900
20250203,126900,129900,111000,111100,1078440,127478001200
20250131,130700,133800,129100,130000,120971,15816165900
20250120,150100,155500,132100,132600,1107172,156478587300
20250113,143100,158100,143100,149000,775241,116583512900
20250106,140100,152500,139100,145600,881659,129079042800
20241230,120500,141500,118100,138300,809250,107684469300
20241223,128000,138900,117500,120500,1266212,162799322400
20241216,136100,137500,124300,126200,1144652,150120267100
20241209,151900,154500,133500,136200,2258717,322915467902
20241202,132900,179900,130400,157600,3106949,499763616400
20241125,139700,147900,122300,127200,1229835,169213091700
20241118,135200,146700,129000,140700,854137,117650428600
20241111,160300,162000,108000,134000,1861877,255831965500
20241104,171100,181200,156800,159600,1034201,172724760000
20241028,180500,186400,166500,169300,1219930,204646586800
20241021,181000,189000,172400,180400,706513,127974304800
20241014,199600,205500,179600,180000,995315,190740859100
20241007,200000,219500,198200,205000,1014437,210184391500
20240930,203500,204500,177000,197000,1612992,304942891000
20240923,180000,209000,176600,203500,1466869,290659314800
20240919,187600,187800,175100,179000,431053,77514602900
20240909,162700,185900,159100,183300,1256074,215125643000
20240902,191000,218000,165500,165500,2146833,411514580800
20240826,201500,202500,181100,191500,1334914,255411100200
20240819,220000,223500,182100,196500,1655152,344467000200
20240812,160200,217000,159700,211000,1640786,310219716200
20240805,170000,173200,149000,161800,1610008,257847625200
