date,open,high,low,close,volume,trading_value
20260703,366500,366500,339000,362500,1151071,406841321000
20260630,469500,497500,323000,362000,11230807,4536434816500
20260529,469000,489500,382000,458000,10165073,4433672927890
20260430,409500,493000,393500,460500,10160601,4469715123250
20260331,414500,418000,346000,394500,8444832,3207840446000
20260227,392500,440000,377000,427000,6364606,2581083982750
20260130,368500,455000,358500,398000,9498310,3800070455250
20251230,411500,455000,365500,368500,7271140,2980601729004
20251128,480000,495000,408000,408000,7128270,3230111050000
20251031,349000,527000,341000,473000,10266662,4476985524582
20250930,352000,365500,336500,347500,4587226,1608739753092
20250829,382500,399500,351500,352000,4553319,1730171005250
20250731,296500,403000,291500,382500,9400687,3229562642556
20250630,290500,306000,280500,297000,4786761,1408957292500
20250530,325000,329000,266000,286000,5092846,1512669635500
20250430,337500,353000,310500,324500,5792934,1924310528750
20250331,351000,365000,324000,334500,5601381,1896049175250
20250228,345000,386500,329000,352000,4278786,1525546758000
20250131,348500,376000,342500,352000,4360186,1559319285360
20241230,387000,405000,340500,348000,5204827,1975494779500
20241129,405000,435500,371000,381500,8275903,3355813311000
20241031,409500,444000,376500,407500,7099782,2917556976500
20240930,392000,430000,378000,414500,6947270,2814758335500
20240830,325000,394000,311000,388000,6379107,2241778224500
20240731,328000,375000,313000,324000,6119463,2133421813961
20240628,330500,365000,322500,326500,3818897,1317544954500
20240531,385000,397000,326000,331000,3652359,1332844044500
20240430,395000,400000,358000,389000,3843942,1448091301500
20240329,401000,422000,386000,395000,3687309,1496129199747
20240229,378000,417000,373000,401500,4065027,1609878947500
20240131,425000,429500,362000,381000,4607168,1816848373680
20231228,444000,448000,409500,427500,4140347,1762090739000
20231130,389500,500000,375500,454500,7952736,3509698948900
20231031,467000,501000,382500,385500,8069583,3572712153251
20230927,544000,544000,461500,476500,5188120,2612427916305
20230831,562000,568000,513000,544000,7107064,3846121745801
20230731,557000,620000,530000,560000,12335248,6919617920806
20230630,595000,614000,545000,553000,6189244,3583219727900
20230531,580000,604000,530000,599000,4382777,2495117639000
20230428,588000,613000,548000,581000,7267340,4258459279661
20230331,520000,594000,516000,584000,8738947,4909844524121
20230228,527000,550000,499000,523000,6463429,3414137807884
20230131,442000,528000,421000,521000,8268844,3969848946775
20221229,589000,591000,432500,435500,7382847,3729892829031
20221130,534000,629000,533000,587000,8667093,5061634910326
20221031,429500,549000,415000,528000,6992504,3478627663500
20220930,455500,516000,420000,426500,8151425,3886643308280
20220831,420000,478000,413000,462500,8174219,3682443430000
20220729,371000,423000,352000,422000,10520862,4115638293000
20220630,440500,444000,370500,371000,6094194,2531310929750
20220531,412500,444000,382000,444000,6648841,2763068070000
20220429,438500,450000,397000,417000,8011801,3425228095180
20220331,411000,448500,355000,442000,15479821,6209313331694
20220228,458000,577000,404000,412000,25077694,12134748724000
20220128,597000,598000,445000,450000,20506765,10260318422500
